airconditioningtypeid,bathroomcnt,bedroomcnt,buildingqualitytypeid,calculatedfinishedsquarefeet,garagecarcnt,garagetotalsqft,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,propertylandusetypeid,propertyzoningdesc,regionidcounty,roomcnt,unitcnt,yearbuilt,taxvaluedollarcnt,log_sqft,log_lotsize
1.0,3.5,4.0,6.0,3100.0,2.0,633.0,2.0,33634931.0,-117869207.0,4506.0,261.0,580.0,1286.0,0.0,1.0,1998.0,1023282.0,8.03947991910045,8.413387022690648
1.0,1.0,2.0,6.0,1465.0,1.0,0.0,2.0,34449266.0,-119281531.0,12647.0,261.0,580.0,2061.0,5.0,1.0,1967.0,464000.0,7.290292882446597,9.445254378889308
1.0,2.0,3.0,6.0,1243.0,2.0,440.0,2.0,33886168.0,-117823170.0,8432.0,261.0,580.0,1286.0,6.0,1.0,1962.0,564778.0,7.126087273299125,9.039907859574642
1.0,3.0,4.0,8.0,2376.0,2.0,456.0,2.0,34245180.0,-118240722.0,13038.0,261.0,797.0,3101.0,0.0,1.0,1970.0,145143.0,7.773594467360194,9.475700145423472
1.0,3.0,3.0,8.0,1312.0,2.0,456.0,2.0,34185120.0,-118414640.0,278581.0,266.0,587.0,3101.0,0.0,1.0,1964.0,119407.0,7.180069874302796,12.53746772948253
1.0,2.0,3.0,6.0,1492.0,2.0,0.0,2.0,34230044.0,-118993991.0,903.0,266.0,580.0,2061.0,6.0,1.0,1982.0,331064.0,7.30854279753919,6.806829360392176
1.0,3.0,4.0,9.0,2962.0,2.0,456.0,2.0,34145202.0,-118179824.0,63000.0,261.0,1445.0,3101.0,0.0,1.0,1950.0,773303.0,7.993957547573565,11.050905878263567
1.0,1.0,2.0,5.0,738.0,2.0,456.0,2.0,34149214.0,-118239357.0,4214.0,261.0,476.0,3101.0,0.0,1.0,1922.0,218552.0,6.6052979209482015,8.346404870435956
1.0,3.0,4.0,9.0,3039.0,2.0,456.0,2.0,33960230.0,-118006914.0,20028.0,261.0,1883.0,3101.0,0.0,1.0,1970.0,220583.0,8.019612794400267,9.904936502301233
1.0,3.0,2.0,8.0,1290.0,2.0,456.0,2.0,33998800.0,-118416000.0,54048.0,266.0,587.0,3101.0,0.0,1.0,1980.0,371361.0,7.1631723908466425,10.897646321508597
1.0,3.0,4.0,8.0,2540.0,2.0,456.0,2.0,34434971.0,-118464390.0,10384.0,261.0,1564.0,3101.0,0.0,1.0,1999.0,430108.0,7.840312983320164,9.248117736310213
1.0,2.5,3.0,6.0,1337.0,1.0,0.0,2.0,33663700.0,-117997000.0,9999.0,266.0,580.0,1286.0,0.0,1.0,1989.0,582011.0,7.198931240688173,9.210340371976184
13.0,2.5,3.0,6.0,1340.0,2.0,420.0,2.0,33771438.0,-117982834.0,1199.0,261.0,580.0,1286.0,6.0,1.0,1980.0,319668.0,7.201170883281678,7.090076835776092
1.0,2.5,3.0,6.0,1371.0,2.0,447.0,2.0,34238229.0,-119170633.0,3445.0,261.0,580.0,2061.0,5.0,1.0,2004.0,198054.0,7.22402480828583,8.144969417087875
13.0,2.0,4.0,6.0,1677.0,2.0,420.0,2.0,33642800.0,-117707211.0,5304.0,261.0,580.0,1286.0,8.0,1.0,1981.0,528847.0,7.425357887027151,8.576405051048084
1.0,3.0,3.0,8.0,1435.0,2.0,456.0,2.0,34212400.0,-118238000.0,45171.0,266.0,468.0,3101.0,0.0,1.0,1981.0,259197.0,7.269616749608169,10.718232704843562
1.0,1.0,2.0,4.0,1146.0,2.0,456.0,7.0,34024040.0,-118159090.0,4657.0,261.0,856.0,3101.0,0.0,1.0,1939.0,273745.0,7.044905117129371,8.446341450444287
1.0,2.0,3.0,6.0,1092.0,2.0,456.0,2.0,33897676.0,-118169106.0,36005.0,266.0,1288.0,3101.0,0.0,1.0,1979.0,178646.0,6.996681488176539,10.491440870217568
1.0,2.5,3.0,6.0,2074.0,2.0,485.0,2.0,33586693.0,-117697202.0,5600.0,261.0,580.0,1286.0,7.0,1.0,1978.0,597213.0,7.637716432664798,8.630700432209832
1.0,2.5,3.0,6.0,2018.0,2.0,446.0,2.0,33728985.0,-117754647.0,2800.0,261.0,580.0,1286.0,0.0,1.0,1998.0,534612.0,7.610357618312838,7.937731775260109
1.0,1.0,2.0,5.0,1316.0,2.0,456.0,2.0,34009471.0,-118281052.0,5091.0,261.0,563.0,3101.0,0.0,1.0,1908.0,171838.0,7.183111701743281,8.535425959677298
1.0,3.0,2.0,9.0,2126.0,2.0,456.0,2.0,34074859.0,-118563050.0,221601.0,266.0,599.0,3101.0,0.0,1.0,1983.0,573247.0,7.6624678152002375,12.308638259085296
1.0,1.0,3.0,4.0,1641.0,2.0,456.0,7.0,33760954.0,-118123592.0,5302.0,261.0,659.0,3101.0,0.0,1.0,1944.0,432754.0,7.403670290012373,8.57602797713713
1.0,4.5,6.0,6.0,3870.0,3.0,720.0,2.0,33609965.0,-117850693.0,10050.0,261.0,580.0,1286.0,11.0,1.0,1972.0,2040000.0,8.261268150577648,9.21542741102474
1.0,2.0,3.0,6.0,1538.0,2.0,456.0,2.0,34375142.0,-118559779.0,5997.0,261.0,1564.0,3101.0,0.0,1.0,1972.0,401399.0,7.338888133838879,8.699181359308954
1.0,2.0,3.0,4.0,1851.0,2.0,456.0,7.0,34103373.0,-118293280.0,6714.0,261.0,596.0,3101.0,0.0,1.0,1920.0,85035.0,7.524021415206125,8.812099108957337
1.0,3.0,2.0,6.0,3230.0,3.0,744.0,2.0,33760091.0,-117789669.0,18200.0,261.0,580.0,1286.0,8.0,1.0,1967.0,954106.0,8.080546965824498,9.809231816610408
1.0,3.0,4.0,8.0,2447.0,2.0,456.0,2.0,33770258.0,-118363785.0,7911.0,261.0,1538.0,3101.0,0.0,1.0,1967.0,1083000.0,7.803026643632217,8.976135873302548
1.0,2.5,4.0,6.0,1987.0,2.0,448.0,2.0,33794052.0,-117769536.0,3600.0,261.0,580.0,1286.0,0.0,1.0,1989.0,703127.0,7.59488438721652,8.188966863648876
1.0,3.0,3.0,6.0,3641.0,2.0,456.0,2.0,34077252.0,-118663270.0,183383.0,261.0,688.0,3101.0,0.0,1.0,1980.0,1444248.0,8.200288260287554,12.119337593995512
1.0,4.0,5.0,7.0,3572.0,2.0,456.0,2.0,34209748.0,-118190041.0,20148.0,261.0,986.0,3101.0,0.0,1.0,1967.0,1473080.0,8.181160858023409,9.910909938351766
1.0,1.0,1.0,6.0,630.0,1.0,0.0,2.0,33683491.0,-117651587.0,1819.0,266.0,580.0,1286.0,0.0,1.0,1992.0,183187.0,6.447305862541213,7.506591780070841
1.0,3.0,2.0,7.0,1480.0,2.0,456.0,2.0,34174800.0,-118383000.0,7210.0,266.0,587.0,3101.0,0.0,1.0,2009.0,367967.0,7.300472814267799,8.88336291691676
1.0,2.5,4.0,6.0,1979.0,2.0,446.0,2.0,33713632.0,-117765112.0,3936.0,261.0,580.0,1286.0,8.0,1.0,1977.0,800017.0,7.590852123688581,8.278174290943738
1.0,3.0,3.0,7.0,2637.0,2.0,456.0,2.0,34164701.0,-118500753.0,8968.0,261.0,609.0,3101.0,0.0,1.0,1952.0,833227.0,7.87777633327726,9.101529466118004
1.0,2.0,5.0,6.0,1818.0,2.0,456.0,2.0,34209855.0,-118416304.0,7499.0,261.0,580.0,3101.0,0.0,1.0,1948.0,166428.0,7.506042178518122,8.922658299524402
1.0,3.0,4.0,6.0,3160.0,2.0,456.0,2.0,34155840.0,-118375588.0,16506.0,261.0,580.0,3101.0,0.0,1.0,1941.0,691816.0,8.058643712215618,9.71153981234754
1.0,2.0,2.0,6.0,1529.0,2.0,456.0,7.0,34043198.0,-118355618.0,3640.0,261.0,596.0,3101.0,0.0,1.0,1928.0,657099.0,7.333023014386481,8.200013648175434
1.0,2.0,3.0,6.0,1447.0,2.0,456.0,7.0,34166370.0,-118151336.0,7283.0,261.0,1441.0,3101.0,0.0,1.0,1901.0,70755.0,7.277938572945661,8.8934354408475
1.0,2.0,2.0,6.0,829.0,2.0,456.0,2.0,34158500.0,-118143000.0,16378.0,266.0,1446.0,3101.0,0.0,1.0,1991.0,276147.0,6.721425700790643,9.70375530548238
1.0,3.0,2.0,7.0,1110.0,2.0,456.0,2.0,34048900.0,-118369000.0,8500.0,266.0,587.0,3101.0,0.0,1.0,2006.0,563000.0,7.01301578963963,9.04793908261736
1.0,1.0,3.0,5.0,872.0,2.0,456.0,2.0,33955053.0,-118344280.0,5566.0,261.0,545.0,3101.0,0.0,1.0,1922.0,248916.0,6.771935555839602,8.624611588183507
1.0,5.0,4.0,10.0,5492.0,2.0,456.0,2.0,34144603.0,-117818513.0,67316.0,261.0,447.0,3101.0,0.0,1.0,2006.0,1814004.0,8.61122983334262,11.117168084031912
