parcelid,airconditioningtypeid,architecturalstyletypeid,basementsqft,bathroomcnt,bedroomcnt,buildingclasstypeid,buildingqualitytypeid,calculatedbathnbr,decktypeid,finishedfloor1squarefeet,calculatedfinishedsquarefeet,finishedsquarefeet12,finishedsquarefeet13,finishedsquarefeet15,finishedsquarefeet50,finishedsquarefeet6,fips,fireplacecnt,fullbathcnt,garagecarcnt,garagetotalsqft,hashottuborspa,heatingorsystemtypeid,latitude,longitude,lotsizesquarefeet,poolcnt,poolsizesum,pooltypeid10,pooltypeid2,pooltypeid7,propertycountylandusecode,propertylandusetypeid,propertyzoningdesc,rawcensustractandblock,regionidcity,regionidcounty,regionidneighborhood,regionidzip,roomcnt,storytypeid,threequarterbathnbr,typeconstructiontypeid,unitcnt,yardbuildingsqft17,yardbuildingsqft26,yearbuilt,numberofstories,fireplaceflag,assessmentyear,taxdelinquencyflag,taxdelinquencyyear,censustractandblock,taxvaluedollarcnt
14297519,,,,3.5,4.0,,,3.5,,,3100.0,3100.0,,,,,6059.0,,3.0,2.0,633.0,,,33634931.0,-117869207.0,4506.0,,,,,,122,261.0,,60590630.072012,53571.0,1286.0,,96978.0,0.0,,1.0,,,,,1998.0,,,2016.0,,,60590630072012.0,1023282.0
17052889,,,,1.0,2.0,,,1.0,,1465.0,1465.0,1465.0,,,1465.0,,6111.0,1.0,1.0,1.0,0.0,,,34449266.0,-119281531.0,12647.0,,,,,,1110,261.0,,61110010.023006,13091.0,2061.0,,97099.0,5.0,,,,,,,1967.0,1.0,,2016.0,,,61110010023006.0,464000.0
14186244,,,,2.0,3.0,,,2.0,,,1243.0,1243.0,,,,,6059.0,,2.0,2.0,440.0,,,33886168.0,-117823170.0,8432.0,1.0,,,,1.0,122,261.0,,60590218.022012,21412.0,1286.0,,97078.0,6.0,,,,,,,1962.0,1.0,,2016.0,,,60590218022012.0,564778.0
12177905,,,,3.0,4.0,,8.0,3.0,,,2376.0,2376.0,,,,,6037.0,,3.0,,,,2.0,34245180.0,-118240722.0,13038.0,1.0,,,,1.0,0101,261.0,LCR110000*,60373001.001006,396551.0,3101.0,,96330.0,0.0,,,,1.0,,,1970.0,,,2016.0,,,60373001001006.0,145143.0
10887214,1.0,,,3.0,3.0,,8.0,3.0,,,1312.0,1312.0,,,,,6037.0,,3.0,,,,2.0,34185120.0,-118414640.0,278581.0,1.0,,,,1.0,010C,266.0,LAR3,60371236.012,12447.0,3101.0,268548.0,96451.0,0.0,,,,1.0,,,1964.0,,,2016.0,,,60371236012000.0,119407.0
17143294,,,,2.0,3.0,,,2.0,,842.0,1492.0,1492.0,,,842.0,,6111.0,1.0,2.0,2.0,0.0,,,34230044.0,-118993991.0,903.0,,,,,,1129,266.0,,61110053.062009,51239.0,2061.0,,97091.0,6.0,,,,,,,1982.0,2.0,,2016.0,,,61110053062009.0,331064.0
12095076,1.0,,,3.0,4.0,,9.0,3.0,,,2962.0,2962.0,,,,,6037.0,,3.0,,,,2.0,34145202.0,-118179824.0,63000.0,1.0,,,,1.0,0101,261.0,PSR2,60374608.001014,47019.0,3101.0,274684.0,96293.0,0.0,,,,1.0,,,1950.0,,,2016.0,,,60374608001014.0,773303.0
12069064,,,,1.0,2.0,,5.0,1.0,,,738.0,738.0,,,,,6037.0,,1.0,,,,,34149214.0,-118239357.0,4214.0,,,,,,0100,261.0,GLR4YY,60373020.041001,45457.0,3101.0,276258.0,96325.0,0.0,,,,1.0,,,1922.0,,,2016.0,,,60373020041001.0,218552.0
12790562,,,,3.0,4.0,,9.0,3.0,,,3039.0,3039.0,,,,,6037.0,,3.0,,,,2.0,33960230.0,-118006914.0,20028.0,,,,,,0100,261.0,WHRE20000*,60375002.024006,14634.0,3101.0,,96173.0,0.0,,,,1.0,,,1970.0,,,2016.0,,,60375002024006.0,220583.0
11542646,,,,3.0,2.0,,8.0,3.0,,,1290.0,1290.0,,,,,6037.0,,3.0,,,,2.0,33998800.0,-118416000.0,54048.0,1.0,,,,1.0,010C,266.0,LAR3,60372751.022006,12447.0,3101.0,403184.0,96047.0,0.0,,,,1.0,,,1980.0,,,2016.0,,,60372751022006.0,371361.0
11104527,1.0,,,3.0,4.0,,8.0,3.0,,,2540.0,2540.0,,,,,6037.0,,3.0,,,,2.0,34434971.0,-118464390.0,10384.0,1.0,,,,1.0,0101,261.0,SCUR2,60379200.341014,54311.0,3101.0,37739.0,96374.0,0.0,,,,1.0,,,1999.0,,,2016.0,,,60379200341014.0,430108.0
13984101,,,,0.0,0.0,,,,,,2482.0,,,,,2482.0,6059.0,,,,,,,33454921.0,-117660142.0,5431.0,,,,,,38,246.0,,60590422.01501,,1286.0,,96956.0,0.0,,,,2.0,,,1973.0,2.0,,2016.0,,,60590422015010.0,471590.0
14705431,,,,2.5,3.0,,,2.5,,,1337.0,1337.0,,,,,6059.0,,2.0,1.0,0.0,,,33663700.0,-117997000.0,9999.0,,,,,,34,266.0,,60590993.064001,25218.0,1286.0,,96966.0,0.0,,1.0,,,,,1989.0,,,2016.0,,,60590993064001.0,582011.0
13944538,13.0,,,2.5,3.0,,,2.5,,,1340.0,1340.0,,,,,6059.0,1.0,2.0,2.0,420.0,,,33771438.0,-117982834.0,1199.0,,,,,,122,261.0,,60590888.014006,24832.0,1286.0,,97051.0,6.0,,1.0,,,,,1980.0,2.0,,2016.0,,,60590888014006.0,319668.0
